fixtureId,sfen,movetimeMs,multipv,threads,hashMb,sampleCount,successCount,avgWallLatencyMs,p50WallLatencyMs,p95WallLatencyMs,avgElapsedMs,avgActualNodes,avgNps,avgEngineCpuDeltaMs,avgCompletedDepth,terminalCounts,incompleteCount,boundInfoCount,candidateSnapshots
initial-position,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,100,2,1,256,3,3,467.467,461.3,491.8,100.333,85442.3,851640.4,143.3,0,"{""incomplete"":3}",3,0,"[{""label"":""initial-position:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""initial-position:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""initial-position:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
quiet-no-mate,1n1g1ksn1/l1rsg2b1/p1pp1p+Bpl/1p2p4/8p/2P3P1P/PP1PPPSP1/3S4R/LNG1KG1NL b P 1,100,2,1,256,3,3,530.467,505.6,584,100.333,61587.3,613836.8,150,15,"{""ok"":3}",0,0,"[{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]},{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]},{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]}]"
sente-middlegame,1nrg3n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL b BP 1,100,2,1,256,3,3,553.167,465,738.1,100.667,66738.3,663089.8,146.7,0,"{""incomplete"":3}",3,0,"[{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
gote-middlegame,1nrgB2n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL w P 1,100,2,1,256,3,3,471.767,480.4,490.3,100.333,71306,710661.2,143.3,3.67,"{""incomplete"":2,""ok"":1}",2,0,"[{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""B*4i"",""8b7a+"",""6b7a"",""4h5i"",""4i5h+"",""5i5h"",""8d8e"",""1f1e""],""scoreCp"":353},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""S*8b"",""7a7b"",""8b8a"",""7b8b"",""8a9b+"",""8b9b"",""4h5i"",""7d7e"",""1e1d"",""1c1d"",""1i1d"",""7e7f"",""1d1a+""],""scoreCp"":390}]},{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
middlegame-60,1nr1g1kn1/l2sb4/p1p1gpppl/1p2p4/3p2P2/1PP2+B1sp/P1KPPP2P/L1G1RSG2/1N2S2NL b p 1,100,2,1,256,3,3,592,455.1,866.3,100,65339,653390,146.7,14,"{""ok"":3}",0,0,"[{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738},{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""3h3g"",""2f3e"",""1f1e"",""3e2d"",""6d6e"",""1c1e"",""1i1e"",""7c7d"",""P*1f""],""scoreCp"":721}]},{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738},{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""3h3g"",""2f3e"",""1f1e"",""3e2d"",""6d6e"",""1c1e"",""1i1e"",""7c7d"",""P*1f""],""scoreCp"":721}]},{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738},{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""3h3g"",""2f3e"",""1f1e"",""3e2d"",""6d6e"",""1c1e"",""1i1e"",""7c7d"",""P*1f""],""scoreCp"":721}]}]"
middlegame-80,1nsg3nk/l1r6/p1p1gppp1/1p1+B5/1b1pp1P1l/1PP1PP2p/P2P3GN/LKG1R1S1L/1NS1S4 b 2p 1,100,2,1,256,3,3,499.367,484.7,558.6,101,67080,664158.4,146.7,0,"{""incomplete"":3}",3,0,"[{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
hand-piece-rich,1n2g4/l1s3k1r/p1+B1gp1pn/Bp7/1PPp5/5P2l/PG1P+pS2N/LK2R3L/1NS1S4 b 2Pg5p 1,100,2,1,256,3,3,460.8,462.2,465.1,101,58576,579960.4,146.7,14.67,"{""ok"":3}",0,0,"[{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""9c9d"",""5h5g"",""B*4d"",""8h7h"",""P*5f"",""4g5f"",""3b2a""],""scoreCp"":1863},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*3c"",""8h7h"",""6e6f"",""6g6f"",""5a4b"",""7b7c"",""3c6f"",""P*3c"",""3b2b"",""5g6g"",""6f9i+"",""N*3d"",""2b3c"",""3d4b+"",""3c4b""],""scoreCp"":1545}]},{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""9c9d"",""5h5g"",""B*4d"",""8h7h"",""P*5f"",""4g5f"",""3b2a""],""scoreCp"":1863},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*3c"",""8h7h"",""6e6f"",""6g6f"",""5a4b"",""7b7c"",""3c6f"",""P*3c"",""3b2b"",""5g6g"",""6f9i+"",""N*3d"",""2b3c"",""3d4b+"",""3c4b""],""scoreCp"":1545}]},{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""9c9d"",""5h5g"",""B*4d"",""8h7h"",""P*5f"",""4g5f"",""3b2a""],""scoreCp"":1863},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*3c"",""8h7h"",""6e6f"",""6g6f"",""5a4b"",""7b7c"",""3c6f"",""P*3c"",""3b2b"",""5g6g"",""6f9i+"",""N*3d"",""2b3c"",""3d4b+"",""3c4b""],""scoreCp"":1545}]}]"
middlegame-120,1n2g4/+B1s1k3r/p+P2gp1pn/B8/2Pp2p2/1p2LP2l/PG1P+pS2N/LKR4PL/1NS1S1+p1g b 2P2p 1,100,2,1,256,3,3,472.867,461.1,501.4,101,57960.3,573864.7,146.7,15,"{""ok"":3}",0,0,"[{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""8g8f"",""4b3c"",""5f5c"",""3c2d"",""5c5a+"",""1i1h"",""8c7b"",""1f1g+"",""8e6c+""],""scoreCp"":1715},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]},{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""3c3d"",""8c7b"",""1i1h"",""9b8a"",""1f1g+"",""N*2f"",""3d2d""],""scoreCp"":1691},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]},{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""3c3d"",""8c7b"",""1i1h"",""9b8a"",""1f1g+"",""N*2f"",""3d2d""],""scoreCp"":1691},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]}]"
middlegame-150,1+Bp6/4+Bgr1p/1P2L1kpn/p4p2n/2Pp2p2/1pG2P3/P2P1S2+l/LKRS+p2PL/1NS1S1+p1g b GN2p 1,100,2,1,256,3,3,572.9,483,778.9,100.333,59329,591187.8,143.3,8.67,"{""incomplete"":1,""ok"":2}",1,0,"[{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b"",""5b4b"",""3b4b"",""4g5h"",""B*5e"",""6h7g"",""5e7g+"",""8h7g""],""scoreCp"":2622},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""1d2f"",""G*3d"",""3c2b"",""5b4b"",""8f8g+"",""8h8g"",""N*9e"",""8g8h"",""3b3d"",""G*2a"",""2b2a"",""8a5d"",""2a1a""],""scoreCp"":1732}]},{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b""],""scoreCp"":2885},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""4b5b"",""G*3d"",""3c2b"",""2f1d"",""2b1a"",""5c5b+"",""5h6h"",""7f8f"",""6h7h"",""8h7h"",""3b5b""],""scoreCp"":1646}]}]"
mate-in-one,2p2+B2k/1+B3g2p/1P2L1Gpn/p1P2p3/3p2p2/lpG1NP3/P1KP+p3+l/LS1S2SP+n/1NR1S1+pg1 b RPp 1,100,2,1,256,3,3,484.7,485.7,488.9,100,99312.3,993123.3,153.3,33.33,"{""mate"":3}",0,0,"[{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]},{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]},{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]}]"
