fixtureId,sfen,movetimeMs,multipv,threads,hashMb,sampleCount,successCount,avgWallLatencyMs,p50WallLatencyMs,p95WallLatencyMs,avgElapsedMs,avgActualNodes,avgNps,avgEngineCpuDeltaMs,avgCompletedDepth,terminalCounts,incompleteCount,boundInfoCount,candidateSnapshots
initial-position,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,500,2,1,256,1,1,876.4,876.4,876.4,499,343786,688949.9,530,0,"{""incomplete"":1}",1,0,"[{""label"":""initial-position:mt500-mpv2-t1-h256:warm1"",""candidates"":[]}]"
quiet-no-mate,1n1g1ksn1/l1rsg2b1/p1pp1p+Bpl/1p2p4/8p/2P3P1P/PP1PPPSP1/3S4R/LNG1KG1NL b P 1,500,2,1,256,1,1,987.6,987.6,987.6,503,262754,522373.8,550,17,"{""ok"":1}",0,0,"[{""label"":""quiet-no-mate:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*3c"",""B*6f"",""3c6f"",""6g6f"",""B*3c"",""1e1d"",""1c1d"",""1h1d"",""P*1c"",""1d1f"",""3c6f"",""B*7g"",""6f7g+"",""8i7g"",""7b8b""],""scoreCp"":1562},{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""1f1e"",""2b9i+"",""1e1d"",""1c1d"",""1h1d"",""L*2b"",""2c1b"",""6b5c"",""1b2a"",""3a4b"",""8i7g"",""2b2g+"",""P*2h"",""2g3g"",""2i3g"",""S*8h""],""scoreCp"":1472}]}]"
sente-middlegame,1nrg3n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL b BP 1,500,2,1,256,1,1,887.1,887.1,887.1,500,256641,513282,540,17,"{""ok"":1}",0,0,"[{""label"":""sente-middlegame:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""1e1f"",""B*8c"",""1f1g+"",""2i1g"",""P*1f"",""8c9b+"",""1f1g+"",""P*1b"",""7c7d"",""1b1a+"",""7d7e"",""1a2a"",""7e7f"",""L*7d""],""scoreCp"":2006},{""move"":""1f1e"",""pvUsi"":[""1f1e"",""9f8e"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""P*1b"",""7c7d"",""1b1a+"",""7d7e"",""1a2a"",""1c1d"",""3e3d"",""7e7f"",""7h6i"",""3b2a"",""3h3i"",""P*3b"",""5g5f"",""7f7g+"",""8i7g"",""8e9d""],""scoreCp"":1175}]}]"
gote-middlegame,1nrgB2n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL w P 1,500,2,1,256,1,1,1332.1,1332.1,1332.1,500,255206,510412,580,15,"{""ok"":1}",0,0,"[{""label"":""gote-middlegame:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""4h5i"",""7d7e"",""1e1d"",""1c1d"",""1i1d"",""7e7f"",""1d1a+"",""6d6e"",""5h4h"",""6e6f"",""6g6f"",""P*6g"",""6h6g"",""7f7g+"",""8i7g"",""8e6g+"",""7h6g""],""scoreCp"":230},{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""8b9a+"",""1e1f"",""9a9b"",""7c7d"",""4h3g"",""7d7e"",""7f7e"",""B*6e"",""9b6e"",""6d6e""],""scoreCp"":288}]}]"
middlegame-60,1nr1g1kn1/l2sb4/p1p1gpppl/1p2p4/3p2P2/1PP2+B1sp/P1KPPP2P/L1G1RSG2/1N2S2NL b p 1,500,2,1,256,1,1,990.2,990.2,990.2,502,205638,409637.5,550,16,"{""ok"":1}",0,0,"[{""label"":""middlegame-60:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""1f1e"",""1c1e"",""4f6d"",""5a4b"",""1i1e"",""6b6c"",""6d4b"",""3a4b"",""G*6b"",""B*5e"",""7g6h"",""5e9i+"",""6b7a"",""9i8i"",""1e1a+"",""4b5c"",""6h6i"",""6e6f"",""6g6f""],""scoreCp"":766},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g"",""3e3d"",""3c3d"",""5g5f"",""1g2h"",""5f5e"",""5d5e"",""1i1f"",""1c1f"",""5h5e"",""5a4b"",""5e1e"",""P*1c"",""1e1f""],""scoreCp"":740}]}]"
middlegame-80,1nsg3nk/l1r6/p1p1gppp1/1p1+B5/1b1pp1P1l/1PP1PP2p/P2P3GN/LKG1R1S1L/1NS1S4 b 2p 1,500,2,1,256,1,1,913.6,913.6,913.6,500,253578,507156,570,0,"{""incomplete"":1}",1,0,"[{""label"":""middlegame-80:mt500-mpv2-t1-h256:warm1"",""candidates"":[]}]"
hand-piece-rich,1n2g4/l1s3k1r/p1+B1gp1pn/Bp7/1PPp5/5P2l/PG1P+pS2N/LK2R3L/1NS1S4 b 2Pg5p 1,500,2,1,256,1,1,985,985,985,504,270255,536220.2,540,17,"{""ok"":1}",0,0,"[{""label"":""hand-piece-rich:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""9c9d"",""P*3c"",""3b2b"",""G*3b"",""2b1a"",""5h5g"",""P*3a"",""P*2b"",""B*4d"",""8h7h"",""P*7g"",""8i7g"",""3a3b"",""3c3b+"",""1b2b"",""3b2b"",""1a2b"",""5g5c+"",""4d5c""],""scoreCp"":2164},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""P*5f"",""5g5f"",""P*5e"",""5f5e"",""B*4d"",""7b7c"",""1f1g+"",""8h7h"",""4d5e"",""7c5e"",""P*7g"",""7h7g""],""scoreCp"":1422}]}]"
middlegame-120,1n2g4/+B1s1k3r/p+P2gp1pn/B8/2Pp2p2/1p2LP2l/PG1P+pS2N/LKR4PL/1NS1S1+p1g b 2P2p 1,500,2,1,256,1,1,1085.8,1085.8,1085.8,501,233505,466077.8,550,17,"{""ok"":1}",0,0,"[{""label"":""middlegame-120:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""8g8f"",""4b3c"",""5f5c"",""3c2d"",""5c5a+"",""1i1h"",""8c7b"",""1f1g+"",""8e6c+""],""scoreCp"":1715},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""8c7b"",""5g6g"",""9b7d"",""5b4b"",""5f5c+"",""4b5c"",""7d6e"",""6g7h"",""7i7h"",""R*5g"",""G*5d"",""5g5d+"",""6e5d"",""5c5d"",""R*5f"",""5d6c"",""5f5a+""],""scoreCp"":1458}]}]"
middlegame-150,1+Bp6/4+Bgr1p/1P2L1kpn/p4p2n/2Pp2p2/1pG2P3/P2P1S2+l/LKRS+p2PL/1NS1S1+p1g b GN2p 1,500,2,1,256,1,1,2149,2149,2149,501,253798,506582.8,540,16,"{""ok"":1}",0,0,"[{""label"":""middlegame-150:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b"",""5b4b"",""3b4b"",""G*3c"",""2b2a"",""3c4b"",""B*5e"",""6h7g"",""5e7g+"",""7h7g""],""scoreCp"":2855},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""1d2f"",""G*3d"",""3c2b"",""5b4b"",""8f8g+"",""8h8g"",""N*9e"",""8g8h"",""3b3d"",""8a5d"",""G*8g"",""8h9i"",""1c2e"",""G*2a"",""2b1c""],""scoreCp"":1687}]}]"
mate-in-one,2p2+B2k/1+B3g2p/1P2L1Gpn/p1P2p3/3p2p2/lpG1NP3/P1KP+p3+l/LS1S2SP+n/1NR1S1+pg1 b RPp 1,500,2,1,256,1,1,969,969,969,500,499328,998656,540,44,"{""mate"":1}",0,0,"[{""label"":""mate-in-one:mt500-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]}]"
